section_slug,date,time_start,time_end,kind,room,proposal_id,description
talks-posters,7/8/2014,7:30,8:30,Break,Special,,Sponsor Breakfast (Room 301)
talks-posters,7/8/2014,8:30,9:00,plenarybreak,Special,,Breakfast/Registration (GB Prefunction)
talks-posters,7/8/2014,9:00,9:15,Welcome,Grand Ballroom,,
talks-posters,7/8/2014,9:15,10:00,Keynote,Grand Ballroom,,Keynote - Lorena Barba
talks-posters,7/8/2014,10:00,10:15,plenarybreak,Special,,Coffee Break (GB Hallway)
talks-posters,7/8/2014,12:15,13:30,plenarybreak,Special,,Lunch
talks-posters,7/8/2014,13:30,14:15,BOFs,Grand Ballroom,,See BOF schedule
talks-posters,7/8/2014,13:30,14:15,BOFs,Room 203,,See BOF schedule
talks-posters,7/8/2014,13:30,14:15,BOFs,Room 204,,See BOF schedule
talks-posters,7/8/2014,13:30,14:15,BOFs,Special,,BOFs (Room 106)
talks-posters,7/8/2014,15:00,15:30,plenarybreak,Special,,Coffee Break (GB Hallway)
talks-posters,7/8/2014,16:30,17:30,lightning,Grand Ballroom,,
talks-posters,7/8/2014,17:30,19:00,BOFs,Grand Ballroom,,See BOF schedule
talks-posters,7/8/2014,17:30,19:00,BOFs,Room 203,,See BOF schedule
talks-posters,7/8/2014,17:30,19:00,BOFs,Room 204,,See BOF schedule
talks-posters,7/8/2014,17:30,19:00,BOFs,Special,,BOFs (Room 106)
talks-posters,7/8/2014,19:00,20:00,special,Special,,Reception
talks-posters,7/9/2014,8:30,9:00,plenarybreak,Special,,Breakfast/Registration (GB Prefunction)
talks-posters,7/9/2014,9:00,9:15,Welcome,Grand Ballroom,,
talks-posters,7/9/2014,9:15,10:00,Keynote,Grand Ballroom,,Keynote - Nick Coghlan
talks-posters,7/9/2014,10:00,10:15,plenarybreak,Special,,Coffee Break (GB Hallway)
talks-posters,7/9/2014,12:15,13:30,Break,Grand Ballroom,,Lunch
talks-posters,7/9/2014,12:15,13:30,Break,Room 203,,Lunch
talks-posters,7/9/2014,12:15,13:30,Break,Room 204,,Lunch
talks-posters,7/9/2014,12:15,13:30,special,Special,,Diversity Luncheon (El Mercado)
talks-posters,7/9/2014,13:30,14:00,BOFs,Special,,BOFs (Room 106)
talks-posters,7/9/2014,14:00,14:30,BOFs,Special,,BOFs (Room 106)
talks-posters,7/9/2014,14:30,15:30,Posters,Special,,
talks-posters,7/9/2014,15:30,16:00,BOFs,Special,,BOFs (Room 106)
talks-posters,7/9/2014,16:00,16:30,BOFs,Special,,BOFs (Room 106)
talks-posters,7/9/2014,16:30,17:30,lightning,Grand Ballroom,,
talks-posters,7/9/2014,17:30,19:00,BOFs,Grand Ballroom,,See BOF schedule
talks-posters,7/9/2014,17:30,19:00,BOFs,Room 203,,See BOF schedule
talks-posters,7/9/2014,17:30,19:00,BOFs,Room 204,,See BOF schedule
talks-posters,7/9/2014,17:30,19:00,BOFs,Special,,BOFs (Room 106)
talks-posters,7/10/2014,8:30,9:00,plenarybreak,Special,,Breakfast/Registration (GB Prefunction)
talks-posters,7/10/2014,9:00,9:15,Welcome,Grand Ballroom,,
talks-posters,7/10/2014,9:15,10:00,Keynote,Grand Ballroom,,Keynote - Greg Wilson
talks-posters,7/10/2014,10:00,10:15,plenarybreak,Special,,Coffee Break (GB Hallway)
talks-posters,7/10/2014,12:15,13:30,plenarybreak,Special,,Lunch
talks-posters,7/10/2014,13:30,14:15,BOFs,Grand Ballroom,,See BOF schedule
talks-posters,7/10/2014,13:30,14:15,BOFs,Room 203,,See BOF schedule
talks-posters,7/10/2014,13:30,14:15,BOFs,Room 204,,See BOF schedule
talks-posters,7/10/2014,13:30,15:00,special,Special,,WSSSPE Workshop
talks-posters,7/10/2014,15:00,15:30,plenarybreak,Special,,Coffee Break (GB Hallway)
talks-posters,7/10/2014,15:30,16:30,special,Special,,WSSSPE Workshop
talks-posters,7/10/2014,16:30,17:30,lightning,Grand Ballroom,,
talks-posters,7/10/2014,17:30,18:30,BOFs,Grand Ballroom,,See BOF schedule
talks-posters,7/10/2014,17:30,18:30,BOFs,Room 203,,See BOF schedule
talks-posters,7/10/2014,17:30,18:30,BOFs,Room 204,,See BOF schedule
talks-posters,7/10/2014,17:30,18:30,BOFs,Special,,BOFs (Room 106)
talks-posters,7/10/2014,17:30,19:00,special,Special,,Sponsor Happy Hour (Scholtz Garden)
talks-posters,7/8/2014,10:15,10:45,edu,Grand Ballroom,88,
talks-posters,7/8/2014,10:15,10:45,geospatial,Room 203,176,
talks-posters,7/8/2014,10:15,10:45,General,Room 204,128,
talks-posters,7/8/2014,10:45,11:15,edu,Grand Ballroom,177,
talks-posters,7/8/2014,10:45,11:15,geospatial,Room 203,106,
talks-posters,7/8/2014,10:45,11:15,General,Room 204,130,
talks-posters,7/8/2014,11:15,11:45,edu,Grand Ballroom,98,
talks-posters,7/8/2014,11:15,11:45,geospatial,Room 203,104,
talks-posters,7/8/2014,11:15,11:45,General,Room 204,14,
talks-posters,7/8/2014,11:45,12:00,edu,Grand Ballroom,37,
talks-posters,7/8/2014,11:45,12:00,geospatial,Room 203,135,
talks-posters,7/8/2014,11:45,12:00,General,Room 204,33,
talks-posters,7/8/2014,14:15,14:45,edu,Grand Ballroom,149,
talks-posters,7/8/2014,14:15,14:45,geospatial,Room 203,160,
talks-posters,7/8/2014,14:15,14:45,General,Room 204,110,
talks-posters,7/8/2014,14:45,15:00,edu,Grand Ballroom,185,
talks-posters,7/8/2014,14:45,15:00,geospatial,Room 203,57,
talks-posters,7/8/2014,14:45,15:00,General,Room 204,116,
talks-posters,7/8/2014,15:30,16:00,edu,Grand Ballroom,15,
talks-posters,7/8/2014,15:30,16:00,geospatial,Room 203,80,
talks-posters,7/8/2014,15:30,16:00,General,Room 204,7,
talks-posters,7/8/2014,16:00,16:15,edu,Grand Ballroom,13,
talks-posters,7/8/2014,16:00,16:15,geospatial,Room 203,103,
talks-posters,7/8/2014,16:00,16:30,General,Room 204,153,
talks-posters,7/9/2014,10:15,10:45,edu,Grand Ballroom,156,
talks-posters,7/9/2014,10:15,10:45,geospatial,Room 203,131,
talks-posters,7/9/2014,10:15,10:45,General,Room 204,141,
talks-posters,7/9/2014,10:45,11:15,edu,Grand Ballroom,169,
talks-posters,7/9/2014,10:45,11:15,geospatial,Room 203,28,
talks-posters,7/9/2014,10:45,11:15,General,Room 204,67,
talks-posters,7/9/2014,11:15,11:45,edu,Grand Ballroom,82,
talks-posters,7/9/2014,11:15,11:45,geospatial,Room 203,179,
talks-posters,7/9/2014,11:15,11:45,General,Room 204,38,
talks-posters,7/9/2014,11:45,12:00,edu,Grand Ballroom,114,
talks-posters,7/9/2014,11:45,12:00,geospatial,Room 203,184,
talks-posters,7/9/2014,11:45,12:00,General,Room 204,108,
talks-posters,7/10/2014,10:15,10:45,edu,Grand Ballroom,140,
talks-posters,7/10/2014,10:15,10:45,geospatial,Room 203,97,
talks-posters,7/10/2014,10:15,10:45,General,Room 204,91,
talks-posters,7/10/2014,10:45,11:15,edu,Grand Ballroom,134,
talks-posters,7/10/2014,10:45,11:15,geospatial,Room 203,47,
talks-posters,7/10/2014,10:45,11:15,General,Room 204,52,
talks-posters,7/10/2014,11:15,11:45,edu,Grand Ballroom,95,
talks-posters,7/10/2014,11:15,11:45,geospatial,Room 203,172,
talks-posters,7/10/2014,11:15,11:45,General,Room 204,105,
talks-posters,7/10/2014,11:45,12:00,edu,Grand Ballroom,92,
talks-posters,7/10/2014,11:45,12:00,geospatial,Room 203,170,
talks-posters,7/10/2014,11:45,12:00,General,Room 204,64,
talks-posters,7/9/2014,13:30,14:00,bio,Grand Ballroom,175,
talks-posters,7/9/2014,14:00,14:15,bio,Grand Ballroom,24,
talks-posters,7/9/2014,15:30,16:00,bio,Grand Ballroom,94,
talks-posters,7/9/2014,16:00,16:30,bio,Grand Ballroom,36,
talks-posters,7/9/2014,13:30,13:50,astro,Room 203,101,
talks-posters,7/9/2014,13:50,14:10,astro,Room 203,26,
talks-posters,7/9/2014,14:10,14:30,astro,Room 203,66,
talks-posters,7/9/2014,15:30,15:50,astro,Room 203,39,
talks-posters,7/9/2014,15:50,16:10,astro,Room 203,81,
talks-posters,7/9/2014,16:10,16:30,astro,Room 203,161,
talks-posters,7/9/2014,13:30,14:00,geophysics,Room 204,86,
talks-posters,7/9/2014,14:00,14:30,geophysics,Room 204,122,
talks-posters,7/9/2014,15:30,16:00,geophysics,Room 204,60,
talks-posters,7/9/2014,16:00,16:30,geophysics,Room 204,27,
talks-posters,7/10/2014,14:15,14:30,imaging,Room 204,85,
talks-posters,7/10/2014,14:30,14:45,imaging,Room 204,183,
talks-posters,7/10/2014,14:45,15:00,imaging,Room 204,84,
talks-posters,7/10/2014,15:00,15:15,imaging,Room 204,50,
talks-posters,7/10/2014,15:30,15:45,imaging,Room 204,166,
talks-posters,7/10/2014,15:45,16:00,imaging,Room 204,46,
talks-posters,7/10/2014,16:00,16:15,imaging,Room 204,45,
talks-posters,7/10/2014,16:15,16:30,imagingpanel,Room 204,,Panel
talks-posters,7/10/2014,14:15,14:45,engineering,Grand Ballroom,11,
talks-posters,7/10/2014,14:45,15:00,engineering,Grand Ballroom,42,
talks-posters,7/10/2014,15:30,16:00,engineering,Grand Ballroom,74,
talks-posters,7/10/2014,16:00,16:30,engineering,Grand Ballroom,157,
talks-posters,7/10/2014,14:15,14:45,digisocial,Room 203,,
talks-posters,7/10/2014,14:45,15:00,digisocial,Room 203,182,
talks-posters,7/10/2014,15:30,16:00,digisocial,Room 203,145,
talks-posters,7/10/2014,16:00,16:30,digisocial,Room 203,,
